"cod_municipio","arquivo","cnpj","razao_social","ano_do_relatorio","cod_agencia","nome_municipio","nome_agencia","pesquisa","tipo","bbox.1","bbox.2","bbox.3","bbox.4","endereco_google"
"2927408","../data/2012/paic_comum.csv","10189948.0001-90","MGX CONSULTORIA , PESQUISA ,",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","11357305.0001-71","MIGUEL COSTA DE ALMEIDA ME",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","12259999.0001-77","MIRIAM BARRETO DO AMOR DIVINO ME",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"MARES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","03165667.0001-32","MOLD SERVI ² OS DE REFORMA E DECORA ² ´",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"NORDESTE DE AMARALI, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","10516893.0001-86","MONTREACO",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"COMERCIO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","16383556.0001-44","MORADA CONSTRU ² ´ O TERRAPLANAGEM E",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","09329096.0001-00","MORADA DAS GUAS EMPREENDIMENTOS",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"COM¯RCIO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","14524540.0001-89","MOREL MONTAGENS DE REDES ELETRICAS",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"MATA ESCURA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","02034135.0001-01","MOSAICO CONSTRUTORA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"VASCO DA GAMA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","04750217.0001-70","MP ARQUITETURA E CONSTRU ² ´ O LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","05607032.0001-73","MPN EMPREENDIMENTOS LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"IGUATEMI, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","06880707.0001-16","MPR CONSTRU ² ES",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ACUPE DE BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","02282128.0001-10","MPS MINERA ² ´ O PERFURA ² ´ O E SONDAGEM",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"SUSSUARANA CAB, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","09130583.0001-40","MRA CONSTRUTORA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"COMERCIO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","02681069.0001-53","MSM ENGENHARIA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"STIEP, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","06309174.0001-17","MULTIPLAN ENGENHARIA E CONSTRUCOES",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","06216582.0001-24","MURANO CONTRU ² ES",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","09450311.0001-27","MVA CONSTRU ² ES E INCORPORA ² ES",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"JARDIM BRASIL, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","34065417.0001-54","NAUTILLUS ENGENHARIA E COMERCIO",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ITAIGARA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","05337006.0001-72","NEWS EMPREENDIMENTOS E CONSTRU ² ES",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMP . DE PIRAJA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","10708779.0001-58","NIGRO ROBATTO SPE LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"FEDERA ² ´ O, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","11102443.0001-00","NORDESTE COM E SERV DE MOTORES",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMPINAS DE PIRAJA, Salvador, BA, Brazil"
"2927408","../data/2012/pas_comum.csv","05438006.0001-69","HABITAR ADMINISTRADORA DE IMOVEIS LTDA",2011,"292740806","Salvador","Salvador","pas","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AVENIDA ANTONIO CARLOS MAGALHAES , 771 - ITAIGARA, Salvador, BA, Brazil"
"2927408","../data/2012/pas_comum.csv","13638571.0001-06","HAIDAR & SOARES LTDA",2011,"292740806","Salvador","Salvador","pas","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AV TANCREDO NEVES 2915 LOJA 3051 , S / N - CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","06184468.0001-60","NORT EMPREENDIMENTOS LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","86802949.0001-20","A & F EMPREITEIRA DE CONSTRU ² ´ O",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAIXA D GUA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","05083971.0001-66","A C L CONSTRUCOES LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AGUAS CLARAS, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","04433789.0001-25","A J CONSTRUTORA LTDA - EPP",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"GRACA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","08888031.0001-32","A J DOS SANTOS SERVICOS DE PINTURA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"COMERCIO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","01604536.0001-89","A ² O 50 ENGENHARIA E EMPREENDIMENTOS",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PARQUE BELA VISTA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","03316710.0001-13","Andr { Guimar es ConstruÃes",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","97455968.0001-44","AC BARRETO DE ARA  JO ME",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ACUPE DE BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","06107047.0001-35","ACARTONADO DIVISORIAS E FORROS LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"JARDIM ARMACAO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","03225725.0001-76","ACCIOLY CARVALHO CONSTRUTORA E",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS RVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","09378509.0001-47","ACL PATRIMONIAL LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"IMBUI, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","11272348.0001-54","ACUPE SUITES LTDA SPE",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ITACARANHA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","02041703.0001-93","ADVANCE CONSTRU ² ES E PARTICIPA ² ES",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","09605960.0001-50","AFH PARTICIPACOES LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
