sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;34305730.0001-12;F . S AUTO SERVICE PE«AS PARA VEICULOS LTDA;AVENIDA PRESIDENTE DUTRA , 1258 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;14796411.0001-40;FAMA COM…RCIO DE M”VEIS LTDA;AVENIDA GET⁄LIO VARGAS , 190 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;06696668.0001-00;FARMAG FARM CIA MAGISTRAL DE FEIRA LTDA;AV . GETULIO VARGAS , 897 - A - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;10963566.0001-72;FARM CIA DO TRABALHADOR DO BRASIL BAHIA LTDA;RUA SALES BARBOSA , 310 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;96712724.0001-37;FEIRA CENTER MAGAZINE LTDA;RUA SALES BARBOSA , S / N - 265 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02163477.0001-13;FEIRA COM…RCIO DE TECIDOS LTDA;AVENIDA SENHOR DOS PASSOS , 1830 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04581439.0001-06;FEIRA MOLAS COMERCIO E REPRESENTACOES LTDA;AV . SUDENE , S / N - TERREO - CIS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02440669.0001-20;FEIRA PROTE ß√O COMERCIO LTDA;RUA VISCONDE DO RIO BRANCO , 953 - BARAUNAS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13608906.0001-35;FEIRA TINTAS LTDA;AV CONTORNO , 6760 - CIDADE NOVA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02952585.0001-75;FEIRALAR COMERCIO DE MOVEIS E ELETROD LTDA;RUA MARECHAL DEODORO , 26 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;34417840.0001-76;FEIRENSE DISTRIBUIDORA DE PE«AS LTDA;RUA VISCONDE DO RIO BRANCO , 885 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;11123677.0001-33;FENIX COML DE CAMA MESA E BANHO LTDA;RUA MARECHAL DEODORO , 304 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;16239733.0001-13;FERRAGENS MUNDIAL LTDA;RUA CONSELHEIRO FRANCO , 507 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;01685057.0001-34;FERTIBAHIA COM DE PROD AGROPECUARIOS L;AV PRESIDENTE DUTRA , 2 - . - BRASILIA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08418405.0001-56;FESTIL FESTAS E EMBALAGENS LTDA;RUA MONSENHOR TERTULIANO CARNEIRO , 125 - B - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;09484245.0001-06;FINESSE COM…RCIO DE M”VEIS LTDA;RUA CONSEHEIRO FRANCO , 414 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05501039.0001-06;FRANCISCO BATISTA DE OLIVEIRA DE FSA;RUA SALES BARBOSA , 345 - TERREO - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;73829376.0001-87;FRIGORIFICO E MERCADINHO J C C LTDA ME;RUA ARIVALDO DE CARVALHO , 287 - TERREO - SOBRADINHO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07929017.0001-77;FSC OTICA LTDA;PRACA MACARIO BARRETO , 208 - TERREO - TOMBA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;14946008.0001-50;G S AUTOMOVEIS LTDA;RUA PRUDENTE DE MORAIS , 375 - SALA 06 - PONTO CENTRAL;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;11180896.0001-54;GABRIELA BRILHANTE CAVALCANTE CIA LTDA;RUA ARIVALDO DE CARVALHO , 910 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13848908.0001-00;GEFPEL COMERCIO E REPRESENTA«¥ ES PE«AS LTDA;AV . RIO DE JANEIRO , 565 - PEDRA DO DESCANSO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;01383703.0001-09;GENAILDA SOUZA NASCIMENTO SANTANA;RUA PARANAVAI , 52 - PARQUE IPE;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07244693.0001-07;GENESIS COMERCIAL DE CAMA MESA E BANHO LTDA;RUA SALES BARBOSA , 281 - LOJA - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;03244450.0001-18;GERAL TEC COM E SERVI«OS ELETRICOS LTDA;AV MARIA QUITERIA , 931 - BRASILIA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;16082836.0001-12;GERALDO DA SILVA ALMEIDA;RUA DR ARAUJO PINHO , 145 - OLHOS D AGUA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;00183614.0001-56;GESSO PROGRESSO MATERIAL DE CONSTRUCAO LTDA;RUA SENADOR QUENTINO , 902 - OLHOS D AGUA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;09172184.0001-41;GF COMERCIO DE DERIVADOS DE PETROLEO LTDA;AVENIDA DEPUTADO LUIS EDUARDO MAGALHAES , S / N - AVIARIO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;40618142.0001-31;GLORISMAR DE JESUS SILVA;RUA PLATINA , 155 - . - RUA NOVA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;40485138.0001-42;GMF COMERCIO E REPRESENTA«¥ ES LTDA;RUA CALDENE , 45 - BARAUNA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07644746.0001-87;GOLFARMA DISTRIBUIDORA FARMACEUTICA LTDA;RUA DR JOAQUIM LARANJEIRA , 61 - SOBRADINHO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05646937.0001-52;GUARDA CONFECCOES LTDA;RUA SALES BARBOSA , 385 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08701136.0001-30;GUEDES GUEDES MOTOS LTDA;AVENIDA MARIA QUITERIA , 2709 - A - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;10597634.0001-27;HARMONIA COMERCIO DE PECAS E SERVICOS AU;AV EDUARDO FROES DA MOTA LOTE 6 , 57 - LOTEAMENTO TAMA - TOMBA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;10355755.0001-62;HERMOGENES COMPUTADORES E INFORMATICA LTDA;AV SAMPAIO , 204 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07817160.0001-77;HM ATACADO T XTIL LTDA;PRA«A FR”ES DA MOTA , 77 - TERREO - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05240432.0001-93;HUMBERTO M DE OLIVEIRA;RUA SALES BARBOSA 317 , 317 - CASA - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07746719.0001-15;I C R CASTRO LTDA;RUA CAMINHO UBAITABA 07 A CASA , S / N - . - CIDADE NOVA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;01700885.0001-02;IBL - IGUATEMI BICICLETAS LTDA;RUA JOSE BONIFACIO , 621 - PONTO CENTRAL;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05697301.0001-30;INTERBAHIA ACUMULADORES LTDA;RUA BAR√O DE COTEGIPE , 198 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02137970.0001-69;IRMO PRODUTOS FARMAC UTICOS LTDA - ME;AVENIDA GET⁄LIO VARGAS , 501 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13418215.0001-79;J A MARTINS DE SANTANA EPP;RUA SALES BARBOSA , 79 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07986996.0001-03;J B ALVES E BORGES;AV GETULIO VARGAS , 1209 - PONTO CENTRAL;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;41985201.0001-72;J C RIBEIRO E CIA LTDA;RUA MARECHAL DEODORO , 299 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;12027274.0001-53;J CICERO DOS SANTOS ALIMENTOS;RUA VISCONDE DE BARBACENA , 145 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04243214.0001-40;J CIRINO MATERIAL DE CONSTRUCAO LTDA ME;PRACA MACARIO BARRETO , 368 - TERREO - TOMBA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08385811.0001-60;J DE ALMEIDA RIOS;RUA J . J . SEABRA , 310 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;34108100.0001-58;J L ANDRADE DE JESUS;RUA VISCONDE DO RIO BRANCO 915 , S / N - . - KALILANDIA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08916648.0001-14;J M SANTOS COMERCIAL DE ALIMENTOS LTDA;RUA SANTO EXPEDITO , 472 - SANTA M‘NICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;34431031.0001-19;J MARTINS DERIVADOS DE PETROLEO LTDA .;AVENIDA EDUARDO FROES DA MOTA , 1197 - SANTA MONICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04125615.0001-03;J O REIS DOS SANTOS - ME;RUA INTENDENTE ABDON , 1080 - A - QUEIMADINHA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05740166.0001-68;J R SOARES COELHO;AV SENHOR DOS PASSOS , 840 - TERREO - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;09477156.0001-32;J S GUIMARAES COMERCIAL FARMACEUTICA;RUA JURACY MAGALHAES , 1124 - B - PTO CENTRAL;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;03993279.0001-40;J . J . COMERCIAL DE MIUDEZAS LTDA;RUA CORONEL JOSE PINTO , 316 - 276 - S√O JO√O;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;06166500.0001-84;J . M . COMERCIO E REVENDA DE GAS LTDA;RUA SUDAO , 90 - CONCEI ß√O;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;73619652.0001-82;JAI TRANSPORTES E COM…RCIO DE G S LTDA;RUA CAETIT… , 901 - JARDIM CRUZEIRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02898188.0001-62;JCS BAHIA PAPELARIA LTDA;AV SENHOR DOS PASSOS , 1300 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;03681341.0001-68;JEANE SOUZA MELO DE OLIVEIRA;RUA DAS JAZIDAS , 630 - BRASILIA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;40570657.0001-09;JL DOS SANTOS DE FEIRA DE SANTANA;RUA SENADOR QUINTINO , 2061 - CHACARA SAO COSME;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04524416.0001-60;JMF COM…RCIO DE COMBUSTÕVEIS LTDA;RODOVIA BR 101 , S / N - KM 173 - HUMILDES;2011
